comparator,comparison_error,comparison_logs,database,dialects,generated_error,generated_sql,id,job_id,score
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",9,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""loan"".""amount"" ASC NULLS LAST",10,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(""public"".""account"".""account_id"") FROM ""public"".""account"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""public"".""district"".""A3"" = 'East Bohemia';",1,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" WHERE ""district"".""A3"" = 'Prague';",2,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;",5,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" INNER JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';",8,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""T1"".""account_id"", (SELECT MAX(""district"".""A11"") FROM ""district"") - ""T3"".""A11"" AS ""gap"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""client"" AS ""T3"" ON ""T2"".""client_id"" = ""T3"".""client_id"" INNER JOIN ""district"" AS ""T4"" ON ""T3"".""district_id"" = ""T4"".""district_id"" WHERE ""T3"".""gender"" = 'F' AND ""T3"".""birth_date"" = (SELECT MIN(""client"".""birth_date"") FROM ""client"" WHERE ""client"".""gender"" = 'F') AND ""T4"".""A11"" = (SELECT MIN(""district"".""A11"") FROM ""district"" INNER JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F')) ORDER BY ""T1"".""account_id"" ASC NULLS LAST;",6,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""t1"".""district_id"") FROM ""public"".""district"" AS ""t1"" JOIN ""public"".""client"" AS ""t2"" ON ""t1"".""district_id"" = ""t2"".""district_id"" WHERE ""t2"".""gender"" = 'F' AND ""t1"".""A11"" > 6000 AND ""t1"".""A11"" < 10000;",4,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",3,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""client"".""birth_date"" IS NOT NULL AND ""public"".""district"".""A11"" IS NOT NULL ORDER BY ""public"".""client"".""birth_date"" DESC, ""public"".""district"".""A11"" DESC NULLS LAST LIMIT 1;",7,f8af8de0-c6d7-4f84-985e-a2a67e678918,0
